id_pegawai,jk,tgl_lahir,rumpun_ilmu,stat_aktif,stat_pegawai,ikatan_kerja,pendidikan,pangkat,jabatan_akademik,sertifikasi,tahun_sertifikasi,tgl_jabatan_akademik,jenj_prodi,prodi,fakultas,usia,kelompok_usia,status_sertifikasi,mendekati_pensiun
1,L,1972-02-10,Tidak Terdefinisi,Aktif,ASN JF Non Dosen,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,54,51-55,Belum,False
2,L,1985-03-27,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S3,III/c - Penata,Lektor Kepala,Sertifikasi Dosen,2020.0,2023-06-01,S1,Teknik Mesin,FT,41,41-50,Bersertifikat,False
3,P,1990-01-09,RUMPUN ILMU FORMAL,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2024-05-01,S1,Sistem Informasi,FIK,36,30-40,Belum,False
4,P,1987-01-12,RUMPUN ILMU FORMAL,Aktif,PNS,Dosen Tetap,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2018.0,2023-07-03,S1,Informatika,FIK,39,30-40,Bersertifikat,False
5,P,1967-11-28,Tidak Terdefinisi,Aktif,ASN JF Non Dosen,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,59,>55,Belum,True
6,L,1966-02-17,Tidak Terdefinisi,Aktif,TNI,Dosen Tidak Tetap,S2,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,60,>55,Belum,True
7,P,1971-08-31,Tidak Terdefinisi,TUGAS BELAJAR,NON ASN,Dosen Tidak Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Sertifikasi Dosen,2017.0,2016-01-01,D3,Keperawatan,FIKES,55,51-55,Bersertifikat,False
8,L,1990-01-03,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S3,III/c - Penata,Lektor,Sertifikasi Dosen,2020.0,2022-06-01,S1,Gizi,FIKES,36,30-40,Bersertifikat,False
9,L,1961-09-30,RUMPUN ILMU FORMAL,Aktif,PNS,Dosen Tetap,S2,IV/a - Pembina,Lektor,Sertifikasi Dosen,2015.0,2023-07-03,S1,Informatika,FIK,65,>55,Bersertifikat,True
10,P,1994-03-11,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tidak Tetap,S2,Non-Golongan,Belum Ada,Belum Sertifikasi,,,S1,Teknik Industri,FT,32,30-40,Belum,False
